Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
Cadet Men + 90kg,MALE,15,17,90.1,,,ORANGE,240,0,480
Cadet Men U 50kg,MALE,15,17,,50,,ORANGE,240,0,480
Cadet Men U 55kg,MALE,15,17,50.1,55,,ORANGE,240,0,480
Cadet Men U 60kg,MALE,15,17,55.1,60,,ORANGE,240,0,480
Cadet Men U 66kg,MALE,15,17,60.1,66,,ORANGE,240,0,480
Cadet Men U 73kg,MALE,15,17,66.1,73,,ORANGE,240,0,480
Cadet Men U 81kg,MALE,15,17,73.1,81,,ORANGE,240,0,480
Cadet Men U 90kg,MALE,15,17,81.1,90,,ORANGE,240,0,480
Cadet Women + 70kg,FEMALE,15,17,70.1,,,ORANGE,240,0,480
Cadet Women U 40kg,FEMALE,15,17,,40,,ORANGE,240,0,480
Cadet Women U 44kg,FEMALE,15,17,40.1,44,,ORANGE,240,0,480
Cadet Women U 48kg,FEMALE,15,17,44.1,48,,ORANGE,240,0,480
Cadet Women U 52kg,FEMALE,15,17,48.1,52,,ORANGE,240,0,480
Cadet Women U 57kg,FEMALE,15,17,52.1,57,,ORANGE,240,0,480
Cadet Women U 63kg,FEMALE,15,17,57.1,63,,ORANGE,240,0,480
Cadet Women U 70kg,FEMALE,15,17,63.1,70,,ORANGE,240,0,480
Junior Boys + 50kg,MALE,9,11,50.1,,,ORANGE,180,0,300
Junior Boys U 27kg,MALE,9,11,,27,,ORANGE,180,0,300
Junior Boys U 30kg,MALE,9,11,27.1,30,,ORANGE,180,0,300
Junior Boys U 34kg,MALE,9,11,30.1,34,,ORANGE,180,0,300
Junior Boys U 38kg,MALE,9,11,34.1,38,,ORANGE,180,0,300
Junior Boys U 42kg,MALE,9,11,38.1,42,,ORANGE,180,0,300
Junior Boys U 46kg,MALE,9,11,42.1,46,,ORANGE,180,0,300
Junior Boys U 50kg,MALE,9,11,46.1,50,,ORANGE,180,0,300
Junior Girls +52kg,FEMALE,9,11,52.1,,,ORANGE,180,0,300
Junior Girls U 29kg,FEMALE,9,11,,29,,ORANGE,180,0,300
Junior Girls U 32kg,FEMALE,9,11,29.1,32,,ORANGE,180,0,300
Junior Girls U 36kg,FEMALE,9,11,32.1,36,,ORANGE,180,0,300
Junior Girls U 40kg,FEMALE,9,11,36.1,40,,ORANGE,180,0,300
Junior Girls U 44kg,FEMALE,9,11,40.1,44,,ORANGE,180,0,300
Junior Girls U 48kg,FEMALE,9,11,44.1,48,,ORANGE,180,0,300
Junior Girls U 52kg,FEMALE,9,11,48.1,52,,ORANGE,180,0,300
Junior Men +100kg,MALE,15,20,100.1,,,ORANGE,240,0,480
Junior Men U 55kg,MALE,15,20,,55,,ORANGE,240,0,480
Junior Men U 60kg,MALE,15,20,55.1,60,,ORANGE,240,0,480
Junior Men U 66kg,MALE,15,20,60.1,66,,ORANGE,240,0,480
Junior Men U 73kg,MALE,15,20,66.1,73,,ORANGE,240,0,480
Junior Men U 81kg,MALE,15,20,73.1,81,,ORANGE,240,0,480
Junior Men U 90kg,MALE,15,20,81.1,90,,ORANGE,240,0,480
Junior Men U100kg,MALE,15,20,90.1,100,,ORANGE,240,0,480
Junior Women + 78kg,FEMALE,15,20,78.1,,,ORANGE,240,0,480
Junior Women U 44kg,FEMALE,15,20,,44,,ORANGE,240,0,480
Junior Women U 48kg,FEMALE,15,20,44.1,48,,ORANGE,240,0,480
Junior Women U 52kg,FEMALE,15,20,48.1,52,,ORANGE,240,0,480
Junior Women U 57kg,FEMALE,15,20,52.1,57,,ORANGE,240,0,480
Junior Women U 63kg,FEMALE,15,20,57.1,63,,ORANGE,240,0,480
Junior Women U 70kg,FEMALE,15,20,63.1,70,,ORANGE,240,0,480
Junior Women U 78kg,FEMALE,15,20,70.1,78,,ORANGE,240,0,480
Senior Boys + 66kg,MALE,12,14,66.1,,,ORANGE,180,0,300
Senior Boys U 36kg,MALE,12,14,,36,,ORANGE,180,0,300
Senior Boys U 40kg,MALE,12,14,36.1,40,,ORANGE,180,0,300
Senior Boys U 45kg,MALE,12,14,40.1,45,,ORANGE,180,0,300
Senior Boys U 50kg,MALE,12,14,45.1,50,,ORANGE,180,0,300
Senior Boys U 55kg,MALE,12,14,50.1,55,,ORANGE,180,0,300
Senior Boys U 60kg,MALE,12,14,55.1,60,,ORANGE,180,0,300
Senior Boys U 66kg,MALE,12,14,60.1,66,,ORANGE,180,0,300
Senior Girls + 63kg,FEMALE,12,14,63.1,,,ORANGE,180,0,300
Senior Girls U 36kg,FEMALE,12,14,32.1,36,,ORANGE,180,0,300
Senior Girls U 40kg,FEMALE,12,14,36.1,40,,ORANGE,180,0,300
Senior Girls U 44kg,FEMALE,12,14,40.1,44,,ORANGE,180,0,300
Senior Girls U 48kg,FEMALE,12,14,44.1,48,,ORANGE,180,0,300
Senior Girls U 52kg,FEMALE,12,14,48.1,52,,ORANGE,180,0,300
Senior Girls U 57kg,FEMALE,12,14,52.1,57,,ORANGE,180,0,300
Senior Girls U 63kg,FEMALE,12,14,57.1,63,,ORANGE,180,0,300
Senior Men +100kg,MALE,15,,100.1,,,ORANGE,240,0,480
Senior Men Open,MALE,15,,,,,ORANGE,240,0,480
Senior Men U 60kg,MALE,15,,,60,,ORANGE,240,0,480
Senior Men U 66kg,MALE,15,,60.1,66,,ORANGE,240,0,480
Senior Men U 73kg,MALE,15,,66.1,73,,ORANGE,240,0,480
Senior Men U 81kg,MALE,15,,73.1,81,,ORANGE,240,0,480
Senior Men U 90kg,MALE,15,,81.1,90,,ORANGE,240,0,480
Senior Men U100kg,MALE,15,,90.1,100,,ORANGE,240,0,480
Senior Women + 78kg,FEMALE,15,,78.1,,,ORANGE,240,0,480
Senior Women Open,FEMALE,15,,,,,ORANGE,240,0,480
Senior Women U 48kg,FEMALE,15,,,48,,ORANGE,240,0,480
Senior Women U 52kg,FEMALE,15,,48.1,52,,ORANGE,240,0,480
Senior Women U 57kg,FEMALE,15,,52.1,57,,ORANGE,240,0,480
Senior Women U 63kg,FEMALE,15,,57.1,63,,ORANGE,240,0,480
Senior Women U 70kg,FEMALE,15,,63.1,70,,ORANGE,240,0,480
Senior Women U 78kg,FEMALE,15,,70.1,78,,ORANGE,240,0,480
